detail_link,title,satisfaction,institution,thumbnail,review_count,field
https://www.inflearn.com/courses/미국-빅테크-시스템-디자인설계?attributionToken=ChQxNzcyMjg5NjQzNTkyMjYzMDA5NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADooj_LRErTx0RKy8dES-vHREvfx0RKp8tESjPLREr7y0RKt8tESu_LREg,미국 빅테크 29개의 실습으로 배우는 시스템 디자인 설계,0.0,미국달팽이,https://cdn.inflearn.com/public/courses/333552/cover/864f948f-9959-466b-9027-80983fef8bbb/333552.jpg,0,개발 · 프로그래밍/ > 백엔드/데이터베이스/
https://www.inflearn.com/courses/일주일만에-합격하는-정보처리기사-실기?attributionToken=ChQxNzcyMjg5NjQzNTkyMjYzMDA5NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADooj_LRErTx0RKy8dES-vHREvfx0RKp8tESjPLREr7y0RKt8tESu_LREg,(2024) 일주일만에 합격하는 정보처리기사 실기,4.9,주말코딩,https://cdn.inflearn.com/public/courses/333770/cover/75a84b73-83d7-409a-98fa-d83956b7dab9/333770.jpeg,67,개발 · 프로그래밍/ > 자격증 (개발 · 프로그래밍)/기타 (개발 · 프로그래밍)/
https://www.inflearn.com/courses/김영한의-실전-자바-기본편?attributionToken=ChQxNzcyMjg5NjQzNTkyMjYzMDA5NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADooj_LRErTx0RKy8dES-vHREvfx0RKp8tESjPLREr7y0RKt8tESu_LREg,김영한의 실전 자바 - 기본편,5.0,김영한,https://cdn.inflearn.com/public/courses/332506/cover/a2cc776f-4996-44a4-bbb3-b31df29c087c/332506.png,964,개발 · 프로그래밍/ > 프로그래밍 언어/웹 개발/백엔드/
https://www.inflearn.com/courses/fastapi-완벽-가이드?attributionToken=ChQxNzcyMjg5NjQzNTkyMjYzMDA5NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADooj_LRErTx0RKy8dES-vHREvfx0RKp8tESjPLREr7y0RKt8tESu_LREg,FastAPI 완벽 가이드,0.0,권 철민,https://cdn.inflearn.com/public/courses/334741/cover/a9126e28-8a40-4e94-9025-80a7cad2b246/334741.jpg,0,개발 · 프로그래밍/ > 백엔드/웹 개발/데이터베이스/
https://www.inflearn.com/courses/주말에-끝내는-itq-한글?attributionToken=ChQxNzcyMjg5NjQzNTkyMjYzMDA5NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADooj_LRErTx0RKy8dES-vHREvfx0RKp8tESjPLREr7y0RKt8tESu_LREg,주말에 끝내는 ITQ 한글 자격증,0.0,이룸코딩,https://cdn.inflearn.com/public/courses/334561/cover/666f67d1-131b-4d4f-a472-86f65c74f1a6/334561.png,0,비즈니스 · 마케팅/커리어/ > 자격증 (비즈니스 · 마케팅)/오피스/기타 (커리어)/
https://www.inflearn.com/courses/엑셀-데이터-활용-분석?attributionToken=ChQxNzcyMjg5NjQzNTkyMjYzMDA5NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADooj_LRErTx0RKy8dES-vHREvfx0RKp8tESjPLREr7y0RKt8tESu_LREg,업무가 100배 빨라지는 엑셀 데이터 활용과 분석 노하우,4.9,엑셀여신,https://cdn.inflearn.com/public/courses/324314/course_cover/3ac91662-f368-4c3a-bb35-b69bf2500095/excel.jpg,256,비즈니스 · 마케팅/데이터 사이언스/ > 오피스/데이터 분석/업무 자동화/
https://www.inflearn.com/courses/lyra-clone-coding?attributionToken=ChQxNzcyMjg5NjQzNTkyMjYzMDA5NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADooj_LRErTx0RKy8dES-vHREvfx0RKp8tESjPLREr7y0RKt8tESu_LREg,[Rookiss University] UE5 Lyra 클론 코딩 (Haker),0.0,Rookiss,https://cdn.inflearn.com/public/courses/332307/cover/68a4025d-0d13-4677-a058-4db2af44a3a5/332307.png,0,게임 개발/ > 게임 프로그래밍/
https://www.inflearn.com/courses/김영한의-실전-자바-고급-1?attributionToken=ChQxNzcyMjg5NjQzNTkyMjYzMDA5NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADooj_LRErTx0RKy8dES-vHREvfx0RKp8tESjPLREr7y0RKt8tESu_LREg,"김영한의 실전 자바 - 고급 1편, 멀티스레드와 동시성",5.0,김영한,https://cdn.inflearn.com/public/courses/334352/cover/8b95706f-2e99-4622-9771-3aeaf3b33ba2/334352.png,85,개발 · 프로그래밍/ > 프로그래밍 언어/백엔드/웹 개발/
https://www.inflearn.com/courses/고도-마리오라이크-만들기?attributionToken=ChQxNzcyMjg5NjQzNTkyMjYzMDA5NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADooj_LRErTx0RKy8dES-vHREvfx0RKp8tESjPLREr7y0RKt8tESu_LREg,Godot Engine 마리오라이크 2D PC 게임 만들기,0.0,코드쉼터,https://cdn.inflearn.com/public/courses/334242/cover/d8885884-be8d-4728-883b-ceb04db49508/334242.gif,0,게임 개발/ > 게임 프로그래밍/게임 아트 · 그래픽/
https://www.inflearn.com/courses/파이썬-알고리즘-트레이딩-거래자동화-part3?attributionToken=ChQxNzcyMjg5NjQzNTkyMjYzMDA5NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADooj_LRErTx0RKy8dES-vHREvfx0RKp8tESjPLREr7y0RKt8tESu_LREg,(2024년) 파이썬 알고리즘 트레이딩 파트3: 거래 자동화,0.0,다니엘,https://cdn.inflearn.com/public/courses/333896/cover/fcdf265f-6b26-4bc5-8400-7bcc5f1ccce6/333896.JPG,0,개발 · 프로그래밍/자기계발/ > 데브옵스 · 인프라/금융 ·  재테크/프로그래밍 언어/
